ID,Year,Date,Time,Date and time,Civic number,Street of accident,Street direction,Corner street,Corner street direction,Intersections,Duplicate count,Geocoding address
1,2006,1/13/06,7:45,1/13/06 7:45,5778,NOTRE DAME,E,DICKSON,,NOTRE DAME & DICKSON,3,"5778 NOTRE DAME E, Montreal, Canada"
2,2006,1/14/06,16:45,1/14/06 16:45,,BERRI,,GARNEAU,,GARNEAU & BERRI,1,"GARNEAU & BERRI, Montreal, Canada"
3,2006,1/25/06,7:30,1/25/06 7:30,,SHERBROOKE,O,DU MUSEE,,SHERBROOKE & DU MUSEE,1,"SHERBROOKE & DU MUSEE, Montreal, Canada"
4,2006,2/2/06,,2/2/06 0:00,,MILLEN,,LEGENDRE,,MILLEN & LEGENDRE,1,"MILLEN & LEGENDRE, Montreal, Canada"
5,2006,2/2/06,16:05,2/2/06 16:05,1606,STE CATHERINE,O,GUY,,STE CATHERINE & GUY,4,"1606 STE CATHERINE O, Montreal, Canada"
6,2006,2/3/06,15:40,2/3/06 15:40,,BEAVER HALL,,DE LA GAUCHETIERE,,DE LA GAUCHETIERE & BEAVER HALL,1,"DE LA GAUCHETIERE & BEAVER HALL, Montreal, Canada"
7,2006,2/8/06,15:15,2/8/06 15:15,,PAPINEAU,,DE MAISONNEUVE,,PAPINEAU & DE MAISONNEUVE,7,"PAPINEAU & DE MAISONNEUVE, Montreal, Canada"
8,2006,2/14/06,11:45,2/14/06 11:45,,ROSEMONT,,IBERVILLE,,ROSEMONT & IBERVILLE,1,"ROSEMONT & IBERVILLE, Montreal, Canada"
9,2006,2/16/06,16:10,2/16/06 16:10,,STE CATHERINE,,CLARK,,STE CATHERINE & CLARK,1,"STE CATHERINE & CLARK, Montreal, Canada"
10,2006,2/19/06,18:18,2/19/06 18:18,,ROUEN,,DAVIDSON,,ROUEN & DAVIDSON,2,"ROUEN & DAVIDSON, Montreal, Canada"
11,2006,3/2/06,14:55,3/2/06 14:55,,BERRI,,ONTARIO,,ONTARIO & BERRI,24,"ONTARIO & BERRI, Montreal, Canada"
12,2006,3/7/06,19:22,3/7/06 19:22,,LEGENDRE,,9E AV,,LEGENDRE & 9E AV,2,"LEGENDRE & 9E AV, Montreal, Canada"
13,2006,3/7/06,19:22,3/7/06 19:22,,LEGENDRE,,9E AV,,LEGENDRE & 9E AV,2,"LEGENDRE & 9E AV, Montreal, Canada"
14,2006,3/8/06,11:17,3/8/06 11:17,,VERDUN,,HICKSON,,VERDUN & HICKSON,1,"VERDUN & HICKSON, Montreal, Canada"
15,2006,3/10/06,17:32,3/10/06 17:32,,SHERBROOKE,O,ADDINGTON,,SHERBROOKE & ADDINGTON,4,"SHERBROOKE & ADDINGTON, Montreal, Canada"
16,2006,3/11/06,3:55,3/11/06 3:55,,STE CATHERINE,,ST URBAIN,,STE CATHERINE & ST URBAIN,5,"STE CATHERINE & ST URBAIN, Montreal, Canada"
17,2006,3/11/06,17:10,3/11/06 17:10,,STE MARGUERITE,,ST ANTOINE,,STE MARGUERITE & ST ANTOINE,1,"STE MARGUERITE & ST ANTOINE, Montreal, Canada"
18,2006,3/16/06,13:00,3/16/06 13:00,,CATHEDRALE,,ST ANTOINE,,ST ANTOINE & CATHEDRALE,2,"ST ANTOINE & CATHEDRALE, Montreal, Canada"
19,2006,3/20/06,19:29,3/20/06 19:29,,DES PINS,,CLARK,,DES PINS & CLARK,3,"DES PINS & CLARK, Montreal, Canada"
20,2006,3/22/06,16:00,3/22/06 16:00,,PIE IX,,DES GRANDES PRAIRIES,,PIE IX & DES GRANDES PRAIRIES,2,"PIE IX & DES GRANDES PRAIRIES, Montreal, Canada"
21,2006,3/23/06,9:25,3/23/06 9:25,,WILLIAM,,YOUNG,,YOUNG & WILLIAM,1,"YOUNG & WILLIAM, Montreal, Canada"
22,2006,3/23/06,13:22,3/23/06 13:22,,BELLECHASSE,,PAPINEAU,,PAPINEAU & BELLECHASSE,3,"PAPINEAU & BELLECHASSE, Montreal, Canada"
23,2006,3/24/06,7:35,3/24/06 7:35,,34E AV,,NOTRE DAME,,NOTRE DAME & 34E AV,2,"NOTRE DAME & 34E AV, Montreal, Canada"
24,2006,3/24/06,16:00,3/24/06 16:00,,LAURIER,E,DROLET,,LAURIER & DROLET,4,"LAURIER & DROLET, Montreal, Canada"
