no_evenm,annee,DT_ACCDN,HR_ACCDN,CD_ETAT_VICTM,CD_MUNCP,CIVIC_NUMBER,STREET_TYPE,STREET OF ACCIDENT,STREET_DIR,INTERSECTION TYPE,INTERSECTION,INTERSECTION DIRECTION,Geocoding address,NB_MORT_C,NB_BLESE_GRAVE_C,NB_BLESE_LEGER_C,nb_veh_accdn_c,agecond_1,agecond_2,agecond_3,agecond_4,agecond_5,agecond_6,agecond_7,agecond_8
301030701100011,2007,1/10/2007,20:55,3,66023,,,CERES,,,BASSWOOD,," CERES  &  BASSWOOD , Montreal, QC",0,0,1,1,,,,,,,,
301030702030001,2007,2/3/2007,13:00,3,66023,11150,,MEIGHEN,,,,,"11150 MEIGHEN, Montreal, QC",0,0,1,2,52,47,,,,,,
301030702080009,2007,2/8/2007,17:20,3,66023,,BD,JACQUES BIZARD,,BD,PIERREFONDS,,"BD JACQUES BIZARD  & BD PIERREFONDS , Montreal, QC",0,0,1,1,41,,,,,,,
301030702120008,2007,2/12/2007,16:19,2,66023,,BD,PIERREFONDS,,,RENE EMARD,,"BD PIERREFONDS  &  RENE EMARD , Montreal, QC",0,1,0,1,42,,,,,,,
301030703190008,2007,3/19/2007,15:40,2,66023,,BD,PIERREFONDS,,,TERR RICHELIEU,,"BD PIERREFONDS  &  TERR RICHELIEU , Montreal, QC",0,1,0,1,56,,,,,,,
301030704030010,2007,4/2/2007,16:45,3,66023,9820,,GOUIN,O,,DESLAURIERS,,"9820 GOUIN, Montreal, QC",0,0,1,1,,,,,,,,
301030704210005,2007,4/21/2007,11:53,3,66023,1500,,PIERREFONDS,,,JACQUES BIZARD,,"1500 PIERREFONDS, Montreal, QC",0,0,1,1,50,,,,,,,
301030705060006,2007,5/4/2007,21:05,3,66023,,,PIERREFONDS,,,PAIEMENT,," PIERREFONDS  &  PAIEMENT , Montreal, QC",0,0,1,1,24,,,,,,,
301030705100010,2007,5/10/2007,14:20,3,66023,40,,PAIEMENT,,,,,"40 PAIEMENT, Montreal, QC",0,0,1,1,63,,,,,,,
301030705240015,2007,5/24/2007,16:58,3,66023,4570,,RENE EMARD,,,,,"4570 RENE EMARD, Montreal, QC",0,0,1,1,34,,,,,,,
301030705240017,2007,5/24/2007,18:40,3,66023,,,GOUIN,,,LABROSSE,," GOUIN  &  LABROSSE , Montreal, QC",0,0,1,1,40,,,,,,,
301030707040014,2007,7/4/2007,16:03,3,66023,,,DE L'EGLISE,,,CHERRIER,," DE L'EGLISE  &  CHERRIER , Montreal, QC",0,0,1,1,42,,,,,,,
301030707240005,2007,7/24/2007,11:30,3,66023,851,,CHERRIER,,,,,"851 CHERRIER, Montreal, QC",0,0,1,1,18,,,,,,,
301030708200010,2007,8/20/2007,14:00,3,66023,473,,CR BOYER,,,,,"473 CR BOYER, Montreal, QC",0,0,1,1,,,,,,,,
301030709010007,2007,9/1/2007,14:40,3,66023,118,,JACQUES BIZARD,,,,,"118 JACQUES BIZARD, Montreal, QC",0,0,1,1,22,,,,,,,
301030709180006,2007,9/18/2007,11:55,3,66023,,,LALANDE,,,GOUIN,," LALANDE  &  GOUIN , Montreal, QC",0,0,1,1,37,,,,,,,
301030709280014,2007,9/28/2007,14:15,3,66023,,,VERSAILLES,,,BROOK,," VERSAILLES  &  BROOK , Montreal, QC",0,0,1,1,22,,,,,,,
301030710200004,2007,10/20/2007,9:10,3,66023,,BD,PIERREFONDS,,,STE GENEVIEVE,,"BD PIERREFONDS  &  STE GENEVIEVE , Montreal, QC",0,0,1,1,21,,,,,,,
301030710240009,2007,10/24/2007,19:15,3,66023,,,JACQUES BIZARD,,,GOUIN,," JACQUES BIZARD  &  GOUIN , Montreal, QC",0,0,1,1,53,,,,,,,
301030710260001,2007,10/26/2007,7:15,3,66023,,,PIERREFONDS,,,PERRON,," PIERREFONDS  &  PERRON , Montreal, QC",0,0,2,1,20,,,,,,,
301030710260001,2007,10/26/2007,7:15,3,66023,,,PIERREFONDS,,,PERRON,," PIERREFONDS  &  PERRON , Montreal, QC",0,0,2,1,20,,,,,,,
301030711080013,2007,11/7/2007,22:45,3,66023,4928,BD,DES SOURCES,,BD,PIERREFONDS,,"4928 BD DES SOURCES , Montreal, QC",0,0,1,1,26,,,,,,,
