Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Stn_No
BEAUPORT,46.837,-71.197,QC,,,NA,,,,,,,NA,118.3,0,NA,,17,,,NA,,,7010565
COTEAU DU LAC,45.317,-74.167,QC,2,10,NA,17,2,-10,8,27.4,1,NA,103.1,2,NA,34,15,,,NA,336.3,0,7011947
DESCHAMBAULT,46.667,-71.917,QC,1.2,13,8.6,13.5,9,-15,8,16.6,6,NA,15.6,17,NA,10,3,,,NA,301.6,0,7011982
DESCHAMBAULT,46.691,-71.972,QC,-1,0,NA,11.3,0,-17.6,0,,,NA,129.2,0,NA,,20,,,NA,588.6,0,7011983
HEROUXVILLE,46.667,-72.6,QC,-1.6,13,NA,7.5,9,-17,9,46,1,NA,116.4,2,NA,25,18,,,NA,353.4,0,7013100
L'ASSOMPTION,45.809,-73.435,QC,0.4,0,NA,16.4,0,-13.3,0,,,NA,124,1,NA,18,16,,,NA,545.6,0,7014160
LES CEDRES,45.3,-74.05,QC,1.8,6,NA,17.5,4,-11.5,4,38,2,NA,99.6,4,NA,28,14,,,NA,404.8,0,7014290
LOUISEVILLE,46.267,-73.017,QC,-4.4,29,3.3,8,26,-14.5,27,44,2,NA,116.6,7,NA,38,15,,,NA,44.7,0,7014332
OKA,45.5,-74.067,QC,1.1,26,7.5,9,19,-10,26,0,10,NA,44,15,NA,,7,,,NA,84.5,0,7015730
L'ETAPE,47.562,-71.229,QC,-5.5,0,NA,7.4,0,-20.9,0,,,NA,124.2,0,NA,,23,,,NA,728.8,0,7015791
QUEBEC/JEAN LESAGE INTL A,46.8,-71.383,QC,,,,,,,,59.7,0,82,134.6,0,135,16,17,,,NA,,,7016294
RIGAUD,45.5,-74.367,QC,2.1,19,8.7,16,13,-12,16,34.6,0,98,105.6,4,NA,29,13,,,NA,190.9,0,7016470
RIVIERE VERTE OUEST,46.983,-71.833,QC,-1.1,12,7.7,10,10,-18,9,41.6,3,NA,92.8,7,NA,,14,,,NA,362.7,0,7016675
ST ALBAN,46.717,-72.083,QC,-0.5,2,7.6,11.5,2,-15,1,35,0,66,89.8,4,NA,20,17,,,NA,535.1,0,7016800
ST ALEXIS DES MONTS,46.533,-73.15,QC,-2.8,19,6.2,7,10,-16,13,53,2,NA,72,2,NA,38,14,,,NA,249,0,7016816
STE ANNE DE LA PERADE,46.583,-72.233,QC,0.1,1,8,13.5,1,-14,1,57.4,0,101,149,0,165,20,20,,,NA,536.1,0,7016840
STE BEATRIX,46.2,-73.6,QC,-1.3,19,7.2,6,14,-16,13,33.6,2,NA,68,8,NA,30,13,,,NA,231,0,7016902
ST CHARLES DE MANDEVILLE,46.35,-73.35,QC,-1.5,3,7.1,14,2,-15.5,1,45.1,0,82,111.5,0,132,23,19,,,NA,547.3,0,7016960
STE CHRISTINE,46.817,-71.917,QC,-1,8,NA,9.5,6,-17,6,61.3,1,NA,142.5,1,NA,30,20,,,NA,437.8,0,7017000
ST COME,46.283,-73.75,QC,-1.2,9,8.1,14.5,6,-16.5,6,54,2,NA,124.7,2,NA,,17,,,NA,421.9,0,7017080
ST NARCISSE,46.533,-72.433,QC,-1.2,8,7,8,5,-15.7,6,49.9,0,111,129.5,0,168,22,21,,,NA,441.9,0,7017585
TROIS RIVIERES A-2,46.35,-72.667,QC,,,NA,,,,,53.3,0,NA,137.6,0,NA,19,18,,,NA,,,7018560
TROIS-RIVIERES,46.354,-72.516,QC,0.3,0,NA,12.8,0,-13.3,0,,,NA,105.6,0,NA,,18,,,NA,548.8,0,7018562
TROIS-RIVIERES,46.367,-72.683,QC,-0.8,0,NA,14.6,0,-15.2,0,,,NA,86,1,NA,8,14,,,NA,581.9,0,7018563
VALCARTIER A,46.9,-71.503,QC,-1.7,0,NA,8.8,0,-17,0,,,NA,0.5,15,NA,,0,,,NA,611.3,0,7018573
LAC AUX SABLES,46.867,-72.4,QC,-0.8,8,8.3,8,4,-16,5,40,3,NA,83.2,6,NA,23,13,,,NA,432.3,0,701LEEH
LAC SAINT-PIERRE,46.183,-72.917,QC,1.1,0,NA,15.5,0,-13.1,0,,,NA,,,NA,,,,,NA,523.5,0,701LP0N
STE-FOY (U. LAVAL),46.78,-71.288,QC,-0.7,0,NA,11.5,0,-15.4,0,,,NA,112.6,3,NA,23,16,,,NA,580.3,0,701Q004
LEMIEUX,46.304,-72.061,QC,-0.4,0,NA,15.3,0,-14.7,0,,,NA,134.4,1,NA,,16,,,NA,568.9,0,701Q009
QUEBEC/JEAN LESAGE INTL,46.804,-71.382,QC,-1,0,NA,10.9,0,-18.3,0,,,NA,136.2,0,NA,,16,,,NA,589,0,701S001
ARTHABASKA,46.017,-71.95,QC,0.7,0,7.5,15,0,-16,0,43.8,0,84,121,0,136,20,15,,,NA,537.5,0,7020305
AUTEUIL,45.65,-73.733,QC,,,NA,,,,,0,29,NA,0,30,NA,,0,,,NA,,,7020392
BEAUSEJOUR,46.667,-71.167,QC,-1.2,4,6.7,11,0,-16.5,4,55.4,1,NA,128.1,1,NA,29,17,,,NA,517.2,0,7020567
BONSECOURS,45.4,-72.267,QC,0.8,4,7.7,15,3,-15,1,32,3,NA,107.5,4,NA,22,14,,,NA,464.3,0,7020828
BROMPTONVILLE,45.483,-71.95,QC,-3,25,3.2,10,21,-15,16,41,5,NA,54.5,14,NA,25,5,,,NA,126,0,7020860
COATICOOK,45.15,-71.8,QC,1.2,0,7.2,16,0,-14.5,0,40.5,0,62,114.9,3,NA,18,16,,,NA,521.2,0,7021840
DANVILLE,45.817,-71.983,QC,0.3,16,NA,16,13,-15.5,5,27.3,3,NA,75.8,7,NA,25,11,,,NA,265.7,0,7021954
DRUMMONDVILLE,45.883,-72.483,QC,1.8,5,7.8,18,4,-14,1,40.7,0,67,135.3,0,139,26,19,,,NA,421.7,0,7022160
FLEURY,45.8,-73,QC,2.8,9,9.1,16.5,6,-13,5,4.4,4,NA,4.4,12,NA,,1,,,NA,334.8,0,7022375
FORTIERVILLE,46.483,-72.05,QC,-0.2,0,7.6,15.4,0,-15,0,49,0,85,143.5,0,159,24,20,,,NA,565.2,0,7022494
FRELIGHSBURG,45.033,-72.85,QC,2.1,0,NA,18.4,0,-13,0,,,NA,147.7,0,NA,11,17,,,NA,492.6,0,7022579
GEORGEVILLE,45.133,-72.233,QC,1.2,7,7.7,15,4,-14,6,40.5,0,58,131.3,1,NA,27,19,,,NA,402.6,0,7022720
GRANBY,45.383,-72.717,QC,2.3,4,7.9,19,2,-14,2,28.6,0,47,116.9,0,114,30,18,,,NA,424.7,0,7022800
HEMMINGFORD FOUR WINDS,45.067,-73.717,QC,2,2,6.8,21.5,1,-12,1,26,1,NA,86.1,4,NA,20,13,,,NA,464.6,0,7023075
VARENNES,45.723,-73.377,QC,1.1,2,NA,16.2,2,-12.6,0,,,NA,,,NA,,,,,NA,491.1,0,702327X
LAC MEGANTIC 2,45.6,-70.867,QC,-1.6,18,5.9,10.5,15,-16.5,17,35.6,6,NA,116.4,10,NA,33,11,,,NA,254.7,0,7023677
LAPRAIRIE,45.383,-73.433,QC,-2,30,NA,6.5,29,-9,29,0,29,NA,,,NA,,,,,NA,20,0,7024100
LAURIERVILLE,46.333,-71.667,QC,4.5,30,11.9,17.5,8,2.5,30,34.2,2,NA,124.8,3,NA,22,18,,,NA,13.5,0,7024250
LAUZON,46.817,-71.1,QC,-1.1,12,6.4,10.5,5,-17,8,60,2,NA,45,13,NA,6,6,,,NA,362.7,0,7024254
LENNOXVILLE,45.369,-71.824,QC,1.2,0,NA,16.2,0,-14,0,,,NA,142,0,NA,17,18,,,NA,519.3,0,7024280
LINGWICK,45.633,-71.367,QC,0.2,6,NA,17,4,-16,3,52.6,0,NA,163.6,0,NA,31,19,,,NA,444.4,0,7024320
MAGOG,45.267,-72.117,QC,1.4,4,7.4,15.5,4,-14,2,20,2,NA,101.6,5,NA,18,13,,,NA,448.8,0,7024440
MARIEVILLE,45.4,-73.133,QC,2.7,4,8.1,17.5,4,-12,0,40,0,88,116.5,1,NA,35,13,,,NA,413,0,7024627
MCTAVISH,45.505,-73.579,QC,2.2,1,NA,17,1,-12.1,0,,,NA,118.5,1,NA,35,15,,,NA,473.4,0,7024745
MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,45.467,-73.75,QC,1.7,0,7,16.9,0,-12.1,0,50.2,0,103,129.2,0,149,19,15,,,NA,506.6,0,7025250
MONTREAL INTL A,45.471,-73.741,QC,1.7,0,NA,16.9,0,-12.1,0,48,1,NA,126,2,NA,19,14,,,NA,506.6,0,7025251
NICOLET,46.2,-72.617,QC,0.2,5,7.4,14.5,3,-14.5,4,39.4,0,74,114.2,1,NA,20,17,,,NA,463.8,0,7025440
NICOLET,46.226,-72.657,QC,0.1,0,NA,14.4,0,-13.3,0,,,NA,119.7,0,NA,,18,,,NA,553.7,0,7025442
NOTRE DAME DES BOIS,45.4,-71.083,QC,-0.9,4,7,14.5,0,-16,4,69,0,79,167,0,139,30,20,,,NA,510.9,0,7025670
ORMSTOWN,45.117,-74.05,QC,1.1,6,6.1,20.5,3,-11.5,4,19,1,NA,94.3,1,NA,13,16,,,NA,423,0,7025745
PIERREVILLE,46.083,-72.833,QC,1.1,2,7.7,16,2,-14.5,1,46.4,0,94,124.2,0,154,16,16,,,NA,489.8,0,7026043
RICHMOND,45.633,-72.133,QC,1.3,6,NA,13,5,-14,5,37,5,NA,122.2,5,NA,38,14,,,NA,418.2,0,7026465
RIVIERE DES PRAIRIES,45.7,-73.5,QC,1.8,7,8,16.5,4,-12,5,32.2,1,NA,95.4,1,NA,21,16,,,NA,388.1,0,7026612
SABREVOIS,45.217,-73.2,QC,2,1,7.4,17,0,-11,1,24,1,NA,116.2,2,NA,16,14,,,NA,481,0,7026734
ST ANICET,45.133,-74.35,QC,1.8,8,6.4,20,3,-11,5,33.3,1,NA,105.3,2,NA,25,17,,,NA,372.3,0,7026836
ST BERNARD DE LACOLLE,45.083,-73.383,QC,2.2,8,6.9,18.1,2,-11,7,26.5,0,64,120.9,1,NA,16,17,,,NA,363.8,0,7026916
STE-CLOTHILDE,45.167,-73.679,QC,1.9,0,NA,17.8,0,-11.3,0,,,NA,104.5,0,NA,15,15,,,NA,499.6,0,7027039
ST COME DE LINIERE,46.05,-70.517,QC,0,12,7.7,12,9,-17,5,39.6,0,89,120.4,0,173,24,16,,,NA,342.9,0,7027083
ST EPHREM,46.067,-70.967,QC,0.2,8,8.1,7,6,-10,4,53,1,NA,138.6,2,NA,30,17,,,NA,409.5,0,7027200
ST FLAVIEN,46.483,-71.567,QC,-0.9,2,7.2,14,1,-16.8,2,48.5,0,75,139,0,143,12,17,,,NA,547.9,0,7027259
ST GEORGES,46.15,-70.7,QC,-0.4,6,7.1,15,2,-14.5,4,35,0,64,106.4,0,131,30,12,,,NA,459.9,0,7027283
MONTREAL/ST-HUBERT,45.518,-73.417,QC,1.7,2,NA,12.8,2,-12.1,2,,,NA,78.4,3,NA,,12,,,NA,474.1,0,7027329
ST HYACINTHE 2,45.567,-72.917,QC,1.8,2,7.7,17.1,1,-14.1,2,38,0,74,118,1,NA,24,15,,,NA,468.4,0,7027361
SAINT-GERMAIN-DE-GRANTHAM,45.825,-72.537,QC,1.1,0,NA,17.8,0,-14.6,0,,,NA,118,0,NA,26,14,,,NA,524.3,0,7027470
ST LUDGER,45.75,-70.683,QC,0,6,7.4,16.2,4,-15.8,2,44.7,2,NA,63,11,NA,25,8,,,NA,449.4,0,7027516
STE MADELEINE,45.617,-73.133,QC,1.6,4,7.6,17,0,-13.5,4,34.6,0,76,116.6,0,138,33,15,,,NA,442.7,0,7027517
ST MALO D AUCKLAND,45.2,-71.5,QC,0.5,1,7.7,17,0,-15.5,1,43.6,0,53,131.3,0,111,16,17,,,NA,524.2,0,7027520
STE MARTINE,45.217,-73.85,QC,2.4,4,7.4,17,2,-11.5,4,26.8,1,NA,107.6,1,NA,,17,,,NA,422.5,0,7027540
ST NAZAIRE,45.733,-72.617,QC,1.7,4,8.2,18,4,-14.5,1,38,0,75,127.6,1,NA,35,16,,,NA,439.6,0,7027588
ST PIERRE DE BROUGHTON,46.25,-71.217,QC,-0.2,11,7.7,14,11,-17,5,39,0,56,100.2,4,NA,18,16,,,NA,364.2,0,7027656
ST PROSPER,46.217,-70.5,QC,0.1,7,8.4,15,4,-17,3,48.6,0,82,134.8,0,153,28,17,,,NA,430.7,0,7027660
ST SEBASTIEN,45.767,-70.95,QC,-1.3,10,6.5,8,5,-16,8,62.2,0,85,149.5,2,NA,21,19,,,NA,404.7,0,7027725
ST SEVERIN,46.333,-71.05,QC,-1.1,11,7.2,13.5,8,-17.5,10,49.5,0,81,129.1,0,146,25,17,,,NA,381.2,0,7027733
ST THEOPHILE,45.933,-70.483,QC,-1.2,11,6.4,14.5,9,-16,9,55.6,2,NA,108.8,6,NA,,15,,,NA,383.1,0,7027750
ST WENCESLAS,46.167,-72.333,QC,1.2,5,8.6,15.5,3,-15.5,4,37,3,NA,126.5,4,NA,,15,,,NA,437.6,0,7027783
SCOTT,46.5,-71.083,QC,-1.4,5,6.2,16,2,-16,3,52.8,0,79,116,2,NA,18,16,,,NA,504,0,7027840
SHERBROOKE,45.439,-71.691,QC,1,2,NA,17,2,-14.5,2,,,NA,109.4,2,NA,,12,,,NA,493.9,0,7028123
SHERBROOKE A,45.433,-71.683,QC,,,NA,,,,,54.1,0,NA,153.9,0,NA,25,16,,,NA,,,7028124
SOREL,46.033,-73.117,QC,1.1,1,7.2,16.5,1,-13,0,46,7,NA,104.4,7,NA,37,13,,,NA,508.5,0,7028200
SUTTON,45.067,-72.683,QC,1.6,3,7,19,2,-13,3,53.1,0,78,160.3,1,NA,22,18,,,NA,458.7,0,7028292
THETFORD MINES,46.1,-71.35,QC,-0.3,0,7.1,15,0,-16,0,63,0,75,151,0,129,24,22,,,NA,568,0,7028441
THETFORD MINES RCS,46.049,-71.266,QC,-1.5,0,NA,14.1,0,-16.9,0,,,NA,135.5,0,NA,23,18,,,NA,605.4,0,7028442
VALLEE JONCTION,46.383,-70.933,QC,-0.7,23,6.7,9.5,22,-11.5,21,0,18,NA,32.8,18,NA,,3,,,NA,149.8,0,7028676
